rowname	s1	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s2	s20	s3	s4	s5	s6	s7	s8	s9
GPR62	0.7525233858216174	0.7227135013815777	1.1200943895734343	-0.07958102458983504	1.089340443165063	0.14349723562894412	-0.22542141198745133	-2.0925002814644618	0.06280393189346396	-0.8543563187585289	0.6879904483528363	0.37104878780180284	0.36806244565167007	0.18388992832852125	-0.7551782052623015	-0.6617602023901178	0.592053933462666	-2.5816898120189307	-0.057013326886573075	1.2134821522966073
PAPLN	-0.313024840247378	0.2663320682192553	0.7468375590353303	-0.5243430755100931	-0.12385700254123352	0.2252890876450804	-0.5367671203255008	0.9939275503975823	-0.2981305082026493	-1.1731406812444791	-1.1136224476598615	0.4548981971274775	-0.6978150462286815	1.6422559567428394	-0.04504725042326045	-2.364374689288193	0.8691603783268972	1.6255067653575677	1.0498887803191543	-0.6839736814998567
PARD6G-AS1	-0.6345339756341322	0.5862252137990027	-1.0638872939966342	0.19911474163819826	-1.2438856895500716	-1.3331590884247186	-0.9933533926813907	0.4201577747367774	-0.9184678386171672	2.0393680892362505	0.3212582529420704	-0.9819959378844546	-0.03930722960843549	0.10505386237009669	0.05418782118621889	1.461533248260087	-0.22832441396989192	1.832786189295339	0.8698079048766274	-0.4525782379737665
STMN4	0.8408767263191863	-1.121152464215362	0.5924462264740739	0.5611201335615732	0.9058414164174425	0.6724924039664981	0.5745533267683737	-0.7810555178984425	0.8260588259219857	-0.5862937159592592	-1.003484101717811	0.23814918579825495	0.913795614577949	0.1739264329507592	0.41893071109302693	-1.3988771503401871	0.6086073096284212	-2.4124720520078973	-1.2115232497596613	1.1880599384210813
TCEAL9	-0.7374156400630514	0.42181804638319104	-0.4834128654712247	1.6875685144304304	-0.468797011890545	-1.1010929532047833	-1.4336161479065936	-1.1217666802979112	-1.3070700743468409	-0.014829853903963061	0.16591977460038967	-0.8918052433235262	1.5703915308471361	0.2878382549420335	1.7787372827048866	0.9466732782081696	-0.09899842044829985	1.0065054223425856	0.26146376451958697	-0.4681109781216712
MAOB	-0.29246234658166476	-0.2896515840308208	0.008337436641669901	0.5353476619966736	-0.9148635846177694	-0.8068489423430136	-0.6723884005131647	1.3875678651400416	-0.33561570101317206	-1.2299988763617886	-2.4046324465181192	0.258554569139467	0.13380099568990148	1.5854941436417953	1.1628502407393793	-0.5944903916265865	0.8308507523683627	1.2121191965923586	0.8114278665592857	-0.38539845490283225
GALNTL6	0.3328325353143488	-0.45884249888242923	1.409113405513595	-0.8092685964247862	-0.849185903407284	-1.2879641755895257	-0.39577640621099835	1.5279203843945475	-0.48463983977935227	-0.42966229895392266	-1.4688816580974557	-0.057238647855690855	-1.070696213136673	0.3212473875850853	-0.6683479641638082	1.154179176966976	0.6043584845764884	1.3316125276479713	1.7844734578965393	-0.4852331573936275
TNC	-0.053079252079584284	-0.32276580762336243	0.11580510716687138	0.5829072522484989	0.29019291394895314	0.7772677027960051	0.2818057698440001	-0.3308393048048661	-0.19607248097433977	-1.393178564707649	-2.6848375323833906	0.10660509048258722	-0.01063511226280104	1.3545953431018034	1.4864090880941903	-1.8278262292322458	0.7789616786776321	0.5468476317323374	0.4043727964129344	0.09346390956242218
ATF3	-0.51573777056041	0.17327117728348698	-0.624159759940602	1.8704992118009154	-0.4948019303495679	-1.383631542710956	-0.9513190146244642	-1.392259542373221	-0.811749226879173	-0.3100781550006114	-0.06122438742473028	-0.5826508235239681	1.9350036510314672	0.6748333060633872	1.8673865711940754	0.8699110025920813	-0.010696209144894268	0.1823062518186986	0.050164444209229324	-0.485067253460741
MYO1B	-0.19311070129085264	0.09949137346428859	-0.3697689607935633	0.09485434429108297	-0.1387296726194093	-1.3888578744206337	-1.65993317415226	1.7471575078777892	-0.9430338476439288	-0.5711225304342522	-1.2234928920295092	0.6436770358557937	-0.37223980518242855	0.1904153919213364	0.34808637514212254	2.278462046635974	0.10686901545725398	1.3344471687142019	0.5761025197096996	-0.559273320502703
HMOX1	0.38200331788505293	0.21435311173114063	-1.175634700301394	1.4735698411161926	-0.7085894318020568	-1.1297833051169346	-1.3906127054382795	-0.27242279876502196	-1.4139450720019542	0.13712567040394694	-0.16742624466584072	-0.4895943035932846	1.4776302937986725	0.7694924809739548	2.1500707702582584	0.00993718788685241	0.02442292775793206	1.0785663329316095	-0.21040829562349989	-0.7587550774353438
CAVIN2	-0.7280718986046607	0.5111914344132522	-0.2916478533077883	-0.2940319071795006	-0.37029060933829977	-1.154197531309855	-1.6018165653669394	0.5384028218261092	-0.2497938039951101	0.03109276009239867	-1.2378051856549956	0.9118233583552781	-0.9563655360505671	0.035053758607943165	0.3513448471020663	2.5258154029834556	0.542288368755487	1.7705800835478012	0.2699273818605215	-0.603499326736598
AC026746.1	0.06747790599865963	-0.46494860218118417	0.6724254123463194	-0.38394005385799473	0.6406336569676618	-0.07641969680141854	1.5278305993373515	-0.5822381373513625	2.0566592028700668	-0.1890680596390195	0.4631393744150189	0.45789248955879125	0.08776500746212247	0.3129436902189687	-0.9899330462656444	-1.794821446909482	0.5378337540662437	-1.794821446909482	-1.377022826827033	0.8286122235014124
HK2	-0.16853821241833464	-0.45388809334586866	-0.24976870163079543	1.8605368089202192	-0.030978307747450168	0.15546950440736756	-0.7511023893878102	0.21211585031779567	-0.5335491360413264	-0.9463901277580302	-0.27578900467591255	0.051678416681604535	1.7031485626707565	0.44533024177646796	2.5548844420258785	-1.5147359038821406	-0.09066544847746763	-0.8649376698486777	-0.37403568101308166	-0.7287851505731955
ZMAT4	-0.7350379398602505	-1.2296636465275992	0.027449798471038157	0.45823671492883317	-0.7471750861797669	-0.5899741601728699	-0.2299232405398716	2.577213571412514	-0.663342771942503	0.06795225482422607	-0.9674843805882971	0.054493551283612406	-0.2769981717144814	-0.9223384041310417	-0.15426269717558222	1.0994861613379738	0.08825822313583322	1.058368423220262	1.934432734857428	-0.8496909346394624
F3	-0.2196638930638956	-0.2585838040004746	0.23002357503449425	0.7672324638652279	-0.11441536445719598	0.07879103133996705	-0.3851417823689444	1.429256043558668	-0.742564211897679	-1.3667481814594826	-1.4850139150361208	-0.12875491927387298	0.08364894002876543	1.2509237418930093	1.3526259089702846	-2.34750792317514	0.67479112210152	0.7599115027403828	1.0345993325285021	-0.6134096673280147
