rowname	s_11.69_CTRL_Mixed	s_12.78	s_12.78_14.4	s_12.78_PLA11.5_NAWM	s_12002_CTRL	s_13.15_PA_15.5	s_13.15_MRI13	s_13.15_MRI13_NAWM	s_13.47_PLA4_CA	s_13.47_PLA8_C1	s_13.47_PCA8_CA	s_13.47_PLA4_cone	s_13.47_PLA13.8_cone	s_14.43_CTRL_WM	s_486_64M_WM	s_486_WM_Front.	s_487_59M_WM	s_9.34_PLA1	s_9.34_MRI2	s_9.34_PLA1_NAWM	s_9.67_MRI13_CA	s_9.67_PLA61	s_9.67_MRI13_WM	s_C101_WM	s_C101_WM_Temp.
hydantoin_5_propionate	0.2303084555174503	1.3707508636747963	1.5204880371611154	0.3409672804639005	1.7017612037875134	0.23534435500862033	-0.008669453927785982	0.22595731379489337	-1.369482847784572	-1.259392062283062	-0.21678382068997393	-1.1483749521568327	-0.46026669543803694	0.2787733826698153	1.704477187800681	1.7566398235707354	-0.5365634870590803	-0.7017866000899021	-1.2814007576923627	-0.5777380432804021	0.5463804278101233	-0.24998694812115183	-1.5593634313860614e-4	-0.730754878321904	-1.3704918480714432
ethyl_beta_glucopyranoside	-0.22253737154643774	-0.3806747569291048	-0.45279373637719716	-0.22829513752129907	0.8603336336807109	-1.3594702908807756	-0.966244109297762	-1.0385918630848856	-0.21684093421560421	-0.8324140333279663	-1.1641804176733053	-0.8903117601674051	0.4052828699135516	-0.8426069140189086	0.2800571317361809	0.30980655205493873	0.5369643754206552	0.9309796995027667	0.7456508515121009	0.518655995852485	2.350575773091263	1.663301347814098	1.6702222310470225	-0.3169877481608629	-1.3598813884242682
adenylosuccinate	-0.9267497382666938	-0.5156763193682978	-0.797068481884871	-1.0404710501574221	0.5696392651750548	-0.32090888882524043	0.3364425657010919	0.2522685673444351	-1.5351865291521976	-0.08728032474874375	-0.530420812050816	3.6847884669646684	-1.2949458916155165	0.20862886436265587	-0.035211603046330156	0.09298494381851227	1.1120439763895669	0.48785090507374035	0.4059236603599493	0.6718828395081741	-0.12181622942383485	-0.49950016732119995	0.11818062666286684	-0.43584401908568127	0.20044537358612277
gamma_glutamylhistidine	-0.1297886927478784	0.5865425006347339	0.5354264120560571	0.7162508972642542	-0.9872065776570099	-0.44802274943270914	-0.22073385973863868	-0.11445922308395157	-0.47109687380441556	-0.3434588989082772	-0.2060643118844453	-0.7167588244257838	-0.6242857032438448	0.12993386129928552	-0.17080184197017526	0.04250544852666795	-0.7238886166112226	4.157946893287915	-0.9490698872879384	-1.1206682381295774	0.2855279101441116	0.05172780354709587	0.07513211340131111	0.29643132743519324	0.34887913132924775
n6_methyllysine	-0.29408431877717156	1.453313039131973	1.370004707126453	1.2872996307348357	1.3389414827723993	-0.05010796272193485	-0.16363631081728042	-0.20536567820449664	-1.2221004599765728	-1.3865415051526806	-1.164937399259042	-1.3972753766196366	-1.487541722205081	1.2185617273725742	0.7720654376611262	0.6783139289419237	-0.9355280638575735	0.903790353656508	1.0379477816123381	0.8064755315046453	-0.6591154755456755	-0.6572899571034378	-0.6981733502885058	-0.24472056810493753	-0.30029547188074046
cystine	-0.360485144096235	0.5679748716380912	0.0938227273630082	0.4828440254218542	-1.7136545722502448	-0.17507599695965556	0.7212104197321196	0.8530898707415205	0.1127260974997641	-0.34578541789048123	0.06915061450544141	0.762344257669906	0.4992027295514714	-1.6767995927315722	-0.7752715163314612	-0.4810294158620272	-0.7472278106432653	-2.5789775962862747	-0.726623204290924	-0.29540194549133525	1.0555722088358916	1.157427934152313	0.8916228824118794	1.325931352767618	1.283412220542593
valylglycine	-1.3001560853640073	-1.118350179903025	-0.5346735728199681	-0.7547178554026193	-0.7607956305791038	0.9337680727881876	0.8112811758084908	-0.7222619915275258	-0.33673654811582054	-0.3409556557793002	0.22593512363758447	0.6641315577920363	0.5683462153769011	-1.1139382238493334	-0.016599430636051748	-0.20957571779885373	-0.2566609751528565	5.249697864531919e-4	0.136032264946779	-0.3257634908258063	2.2547857945690835	2.081075231729412	1.9035227478957415	-0.43841619030222023	-1.349801606274172
valylleucine	-0.3427621081479414	-0.5546780945243666	-0.8762797530518371	-0.5372059894855796	-0.9109214548084633	0.44862836397215894	0.09244881675531569	-0.6935475153178788	-0.844068646786645	-0.2600284551460429	0.12489746613897923	-0.6188662353132016	0.3377528163685014	-0.667980349902753	0.16309481858964575	-0.27343872936201874	-0.8055312982873225	-0.19423766689302768	0.20271429536456526	0.21374873879654477	2.953771823793964	2.1389151151250196	2.085627464561509	-0.457046672190779	-0.7250067502483324
alanylleucine	-0.7297003940974717	-0.99672609212468255	-0.5751530630836538	-0.3188090072498736	-1.0974439483821354	0.5915820612660906	0.2546772554764836	-0.6409795642151956	-0.7826134471544451	-0.43652674914929485	0.050013285231368325	-0.26650236464473787	0.4268218885273694	-0.848279728616144	0.12836700286051247	-0.2003806578081943	-0.6395363184993169	-0.07009045140164387	0.0837012103514129	0.11022050443006787	2.7190231040094353	2.2684632476957907	2.083181297795028	-0.20654216912009427	-0.9067669020966634
myristoleoylcarnitine_c14_1	-0.2652864285487155	1.4896198091288655	0.014909106908813627	0.8272649095256543	0.7321509016749662	0.8168877260929348	0.25546430429623684	0.8210052369943628	-1.0931008573949972	-0.14241249407077866	-0.08554881223289156	-3.0039269718754573	-0.8533007760431357	0.6992034979571777	-0.07824960970194565	-0.03399545071207939	2.0733203200090164	-0.12166770914792653	-0.43493239991557564	-0.30871570830426914	0.04181794739537155	-1.5891849710277315	0.6372134559533692	-0.1644409886792744	-0.23409403828197783
phenylacetylglutamine	-1.1877585374632889	1.9826254748141905	1.8980609627192269	1.6686676678261692	1.286401567687309	-0.1630900104254341	-0.2422467391571612	-0.2212013660851113	-0.2818518162934454	-0.43436407485989253	-0.19708252120648434	-0.3224326540193936	-0.42799006023121233	-0.8702337337927899	1.5178019053069898	1.6593683544020603	-0.1496608759025513	-0.9177679846788073	-0.5657934973102304	-0.5683027759701662	-0.8198418287267955	-0.6734608413670761	-0.9510678703204496	-0.4179820259574214	-0.6007967189882489
